|user|ms-1|ms-2|ms-3|ms-4|ms-5|ms-6|ms-7|ms-8|ms-9
0|(41.518113, -87.390497)|{'distance': 78.12, 'position': (41.517421000000006, -87.390335)}|{'distance': 82.64, 'position': (41.517392, -87.39025600000001)}|{'distance': 790.54, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.43, 'position': (41.475405, -88.06671899999999)}|{'distance': 83.06, 'position': (41.51738099999999, -87.390298)}|{'distance': 56513.97, 'position': (41.475412, -88.066666)}|{'distance': 131.9, 'position': (41.51701, -87.389914)}|{'distance': 56482.87, 'position': (41.476223, -88.06638600000001)}|{'distance': 130.94, 'position': (41.517037, -87.389858)}
1|(41.518113, -87.390497)|{'distance': 78.12, 'position': (41.517421000000006, -87.390335)}|{'distance': 84.82, 'position': (41.517371999999995, -87.390255)}|{'distance': 790.54, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.43, 'position': (41.475405, -88.06671899999999)}|{'distance': 82.84, 'position': (41.517382, -87.39030500000001)}|{'distance': 56514.1, 'position': (41.475415000000005, -88.066668)}|{'distance': 131.9, 'position': (41.51701, -87.389914)}|{'distance': 56483.21, 'position': (41.476196, -88.06638699999999)}|{'distance': 115.47, 'position': (41.517129000000004, -87.390054)}
2|(41.518113, -87.390497)|{'distance': 78.12, 'position': (41.517421000000006, -87.390335)}|{'distance': 81.32, 'position': (41.517403, -87.39026299999999)}|{'distance': 790.54, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.43, 'position': (41.475405, -88.06671899999999)}|{'distance': 83.37, 'position': (41.517376999999996, -87.390306)}|{'distance': 56514.21, 'position': (41.475421, -88.06666999999999)}|{'distance': 131.9, 'position': (41.51701, -87.389914)}|{'distance': 56484.35, 'position': (41.476181, -88.066399)}|{'distance': 115.09, 'position': (41.51712499999999, -87.390085)}
3|(41.518113, -87.390497)|{'distance': 78.12, 'position': (41.517421000000006, -87.390335)}|{'distance': 85.33, 'position': (41.517368, -87.390251)}|{'distance': 790.54, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.43, 'position': (41.475405, -88.06671899999999)}|{'distance': 83.14, 'position': (41.51738, -87.39030000000001)}|{'distance': 56514.55, 'position': (41.475429000000005, -88.06667499999999)}|{'distance': 131.9, 'position': (41.51701, -87.389914)}|{'distance': 56482.48, 'position': (41.476203, -88.066379)}|{'distance': 115.31, 'position': (41.517122, -87.390089)}
4|(41.518113, -87.390497)|{'distance': 78.12, 'position': (41.517421000000006, -87.390335)}|{'distance': 87.49, 'position': (41.517354, -87.39022000000001)}|{'distance': 790.54, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.43, 'position': (41.475405, -88.06671899999999)}|{'distance': 84.81, 'position': (41.517366, -87.39029099999999)}|{'distance': 56514.82, 'position': (41.475435, -88.06667900000001)}|{'distance': 131.9, 'position': (41.51701, -87.389914)}|{'distance': 56480.49, 'position': (41.476220000000005, -88.06635700000001)}|{'distance': 120.53, 'position': (41.517093, -87.39000700000001)}
5|(41.518113, -87.390497)|{'distance': 78.12, 'position': (41.517421000000006, -87.390335)}|{'distance': 86.88, 'position': (41.517364, -87.39020000000001)}|{'distance': 790.54, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.43, 'position': (41.475405, -88.06671899999999)}|{'distance': 81.48, 'position': (41.517393, -87.39031499999999)}|{'distance': 56514.87, 'position': (41.475438000000004, -88.06667999999999)}|{'distance': 131.9, 'position': (41.51701, -87.389914)}|{'distance': 56481.66, 'position': (41.476211000000006, -88.06637)}|{'distance': 119.44, 'position': (41.517101000000004, -87.390016)}
6|(41.518113, -87.390497)|{'distance': 78.12, 'position': (41.517421000000006, -87.390335)}|{'distance': 87.13, 'position': (41.517357000000004, -87.390222)}|{'distance': 790.54, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.43, 'position': (41.475405, -88.06671899999999)}|{'distance': 81.15, 'position': (41.517394, -87.39032999999999)}|{'distance': 56514.87, 'position': (41.475438000000004, -88.06667999999999)}|{'distance': 131.9, 'position': (41.51701, -87.389914)}|{'distance': 56478.86, 'position': (41.476234000000005, -88.06633900000001)}|{'distance': 117.42, 'position': (41.51711100000001, -87.390052)}
7|(41.518113, -87.390497)|{'distance': 78.12, 'position': (41.517421000000006, -87.390335)}|{'distance': 82.23, 'position': (41.517398, -87.390245)}|{'distance': 790.54, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.43, 'position': (41.475405, -88.06671899999999)}|{'distance': 82.92, 'position': (41.517378, -87.39032900000001)}|{'distance': 56514.53, 'position': (41.475438999999994, -88.066676)}|{'distance': 131.9, 'position': (41.51701, -87.389914)}|{'distance': 56479.14, 'position': (41.476231, -88.066342)}|{'distance': 117.32, 'position': (41.517108, -87.39006799999999)}
8|(41.518, -87.390539)|{'distance': 66.58, 'position': (41.517421000000006, -87.390335)}|{'distance': 76.1, 'position': (41.517352, -87.390245)}|{'distance': 785.65, 'position': (41.513733, -87.38301799999999)}|{'distance': 56513.94, 'position': (41.475405, -88.06671899999999)}|{'distance': 70.97, 'position': (41.51738099999999, -87.390331)}|{'distance': 56509.11, 'position': (41.475441000000004, -88.066665)}|{'distance': 121.76, 'position': (41.51701, -87.389914)}|{'distance': 56475.65, 'position': (41.476215, -88.06635200000001)}|{'distance': 106.88, 'position': (41.51711, -87.390054)}
9|(41.518, -87.39051799999999)|{'distance': 66.16, 'position': (41.517421000000006, -87.390335)}|{'distance': 74.89, 'position': (41.51736, -87.39023800000001)}|{'distance': 784.26, 'position': (41.513733, -87.38301799999999)}|{'distance': 56515.69, 'position': (41.475405, -88.06671899999999)}|{'distance': 63.63, 'position': (41.517444999999995, -87.390332)}|{'distance': 56509.23, 'position': (41.475446000000005, -88.066646)}|{'distance': 121.03, 'position': (41.51701, -87.389914)}|{'distance': 56478.11, 'position': (41.47621, -88.06636)}|{'distance': 106.35, 'position': (41.51711100000001, -87.390047)}
10|(41.517999, -87.390517)|{'distance': 66.03, 'position': (41.517421000000006, -87.390335)}|{'distance': 74.67, 'position': (41.517357000000004, -87.390254)}|{'distance': 784.12, 'position': (41.513733, -87.38301799999999)}|{'distance': 56515.76, 'position': (41.475405, -88.06671899999999)}|{'distance': 68.01, 'position': (41.517399999999995, -87.39035200000001)}|{'distance': 56507.32, 'position': (41.475452999999995, -88.06662299999999)}|{'distance': 120.89, 'position': (41.51701, -87.389914)}|{'distance': 56480.84, 'position': (41.476227, -88.066394)}|{'distance': 108.76, 'position': (41.517096, -87.390015)}
11|(41.517996000000004, -87.390515)|{'distance': 65.67, 'position': (41.517421000000006, -87.390335)}|{'distance': 75.12, 'position': (41.51734999999999, -87.390251)}|{'distance': 783.79, 'position': (41.513733, -87.38301799999999)}|{'distance': 56515.9, 'position': (41.475405, -88.06671899999999)}|{'distance': 70.33, 'position': (41.517375, -87.390355)}|{'distance': 56505.22, 'position': (41.475462, -88.066597)}|{'distance': 126.1, 'position': (41.51694499999999, -87.389946)}|{'distance': 56480.87, 'position': (41.476265000000005, -88.066397)}|{'distance': 115.52, 'position': (41.517070000000004, -87.389886)}
12|(41.517999, -87.390511)|{'distance': 65.92, 'position': (41.517421000000006, -87.390335)}|{'distance': 76.44, 'position': (41.517340999999995, -87.390245)}|{'distance': 783.72, 'position': (41.513733, -87.38301799999999)}|{'distance': 56516.26, 'position': (41.475405, -88.06671899999999)}|{'distance': 69.07, 'position': (41.517387, -87.39036899999999)}|{'distance': 56501.0, 'position': (41.475471999999996, -88.066543)}|{'distance': 126.41, 'position': (41.516942, -87.389952)}|{'distance': 56483.53, 'position': (41.476232, -88.06642099999999)}|{'distance': 117.29, 'position': (41.517054, -87.38988499999999)}
13|(41.518005, -87.39050800000001)|{'distance': 66.52, 'position': (41.517421000000006, -87.390335)}|{'distance': 75.63, 'position': (41.517357000000004, -87.390232)}|{'distance': 783.93, 'position': (41.513733, -87.38301799999999)}|{'distance': 56516.56, 'position': (41.475405, -88.06671899999999)}|{'distance': 65.83, 'position': (41.517418, -87.39040499999999)}|{'distance': 56497.1, 'position': (41.475486000000004, -88.066494)}|{'distance': 127.06, 'position': (41.516940000000005, -87.38995500000001)}|{'distance': 56476.48, 'position': (41.476262999999996, -88.06633599999999)}|{'distance': 107.94, 'position': (41.517103, -87.390029)}
14|(41.518008, -87.390506)|{'distance': 66.81, 'position': (41.517421000000006, -87.390335)}|{'distance': 69.39, 'position': (41.51741200000001, -87.390259)}|{'distance': 784.0, 'position': (41.513733, -87.38301799999999)}|{'distance': 56516.75, 'position': (41.475405, -88.06671899999999)}|{'distance': 65.69, 'position': (41.517419, -87.390445)}|{'distance': 56492.64, 'position': (41.475502999999996, -88.06644)}|{'distance': 131.07, 'position': (41.516914, -87.38992)}|{'distance': 56474.86, 'position': (41.476253, -88.066313)}|{'distance': 103.29, 'position': (41.517131, -87.39009700000001)}
15|(41.518014, -87.390501)|{'distance': 67.37, 'position': (41.517421000000006, -87.390335)}|{'distance': 70.5, 'position': (41.517406, -87.390261)}|{'distance': 784.07, 'position': (41.513733, -87.38301799999999)}|{'distance': 56517.22, 'position': (41.475405, -88.06671899999999)}|{'distance': 68.73, 'position': (41.517396, -87.39048500000001)}|{'distance': 56488.36, 'position': (41.475522, -88.066385)}|{'distance': 133.2, 'position': (41.516902, -87.389906)}|{'distance': 56478.72, 'position': (41.476272, -88.066356)}|{'distance': 107.3, 'position': (41.517112, -87.390043)}
16|(41.518008, -87.390504)|{'distance': 66.77, 'position': (41.517421000000006, -87.390335)}|{'distance': 70.78, 'position': (41.517398, -87.390261)}|{'distance': 783.87, 'position': (41.513733, -87.38301799999999)}|{'distance': 56516.92, 'position': (41.475405, -88.06671899999999)}|{'distance': 68.09, 'position': (41.517396, -87.39047500000001)}|{'distance': 56482.99, 'position': (41.47554, -88.066326)}|{'distance': 134.46, 'position': (41.516889, -87.389892)}|{'distance': 56476.28, 'position': (41.476287, -88.066332)}|{'distance': 109.91, 'position': (41.517103, -87.38997300000001)}
17|(41.518013, -87.390501)|{'distance': 67.26, 'position': (41.517421000000006, -87.390335)}|{'distance': 70.79, 'position': (41.517402000000004, -87.390262)}|{'distance': 784.01, 'position': (41.513733, -87.38301799999999)}|{'distance': 56517.21, 'position': (41.475405, -88.06671899999999)}|{'distance': 64.61, 'position': (41.517432, -87.390487)}|{'distance': 56478.15, 'position': (41.475556, -88.066266)}|{'distance': 136.59, 'position': (41.516876, -87.38987999999999)}|{'distance': 56475.09, 'position': (41.476293999999996, -88.06631499999999)}|{'distance': 113.93, 'position': (41.517086, -87.389918)}
18|(41.518019, -87.39049800000001)|{'distance': 67.87, 'position': (41.517421000000006, -87.390335)}|{'distance': 71.37, 'position': (41.517402000000004, -87.390262)}|{'distance': 784.21, 'position': (41.513733, -87.38301799999999)}|{'distance': 56517.51, 'position': (41.475405, -88.06671899999999)}|{'distance': 67.84, 'position': (41.517409, -87.390513)}|{'distance': 56473.25, 'position': (41.47557, -88.06620500000001)}|{'distance': 145.58, 'position': (41.516769000000004, -87.38997799999999)}|{'distance': 56474.99, 'position': (41.476276, -88.066308)}|{'distance': 118.17, 'position': (41.517063, -87.38987800000001)}
19|(41.518024, -87.39049499999999)|{'distance': 68.36, 'position': (41.517421000000006, -87.390335)}|{'distance': 71.83, 'position': (41.517402000000004, -87.390262)}|{'distance': 784.35, 'position': (41.513733, -87.38301799999999)}|{'distance': 56517.81, 'position': (41.475405, -88.06671899999999)}|{'distance': 62.08, 'position': (41.517466000000006, -87.390521)}|{'distance': 56468.35, 'position': (41.475583, -88.06614400000001)}|{'distance': 148.55, 'position': (41.516743999999996, -87.389984)}|{'distance': 56476.07, 'position': (41.476271, -88.066317)}|{'distance': 113.74, 'position': (41.517087000000004, -87.38994699999999)}
20|(41.518029, -87.390491)|{'distance': 68.84, 'position': (41.517421000000006, -87.390335)}|{'distance': 72.28, 'position': (41.517402000000004, -87.390262)}|{'distance': 784.43, 'position': (41.513733, -87.38301799999999)}|{'distance': 56518.18, 'position': (41.475405, -88.06671899999999)}|{'distance': 59.08, 'position': (41.517497999999996, -87.390517)}|{'distance': 56463.67, 'position': (41.475591, -88.06608399999999)}|{'distance': 151.52, 'position': (41.516719, -87.38999)}|{'distance': 56478.41, 'position': (41.476274000000004, -88.066341)}|{'distance': 116.52, 'position': (41.517070999999994, -87.389924)}
21|(41.518035, -87.390488)|{'distance': 69.45, 'position': (41.517421000000006, -87.390335)}|{'distance': 72.86, 'position': (41.517402000000004, -87.390262)}|{'distance': 779.61, 'position': (41.513714, -87.383114)}|{'distance': 56518.49, 'position': (41.475405, -88.06671899999999)}|{'distance': 53.14, 'position': (41.517558, -87.390527)}|{'distance': 56459.18, 'position': (41.475598, -88.06602699999999)}|{'distance': 154.61, 'position': (41.516694, -87.38999700000001)}|{'distance': 56481.29, 'position': (41.476326, -88.066378)}|{'distance': 112.96, 'position': (41.517086, -87.390004)}
22|(41.517972, -87.390522)|{'distance': 63.22, 'position': (41.517421000000006, -87.390335)}|{'distance': 66.98, 'position': (41.517402000000004, -87.390262)}|{'distance': 777.3, 'position': (41.513714, -87.383118)}|{'distance': 56515.1, 'position': (41.475405, -88.06671899999999)}|{'distance': 41.94, 'position': (41.517595, -87.390539)}|{'distance': 56451.13, 'position': (41.475608, -88.065972)}|{'distance': 151.28, 'position': (41.516668, -87.390004)}|{'distance': 56478.71, 'position': (41.476312, -88.06638600000001)}|{'distance': 111.68, 'position': (41.517058999999996, -87.38996300000001)}
23|(41.51796, -87.39052799999999)|{'distance': 62.05, 'position': (41.517421000000006, -87.390335)}|{'distance': 65.88, 'position': (41.517402000000004, -87.390262)}|{'distance': 776.55, 'position': (41.513715000000005, -87.383122)}|{'distance': 56513.43, 'position': (41.475421, -88.066708)}|{'distance': 24.48, 'position': (41.517742, -87.390487)}|{'distance': 56446.12, 'position': (41.475626000000005, -88.065921)}|{'distance': 152.66, 'position': (41.516643, -87.39001)}|{'distance': 56477.19, 'position': (41.476287, -88.06637199999999)}|{'distance': 112.8, 'position': (41.517037, -87.389966)}
24|(41.51796099999999, -87.39053)|{'distance': 62.2, 'position': (41.517421000000006, -87.390335)}|{'distance': 66.04, 'position': (41.517402000000004, -87.390262)}|{'distance': 776.82, 'position': (41.513714, -87.383122)}|{'distance': 56513.3, 'position': (41.475426999999996, -88.06670899999999)}|{'distance': 22.9, 'position': (41.51777, -87.390427)}|{'distance': 56444.11, 'position': (41.475654999999996, -88.06590200000001)}|{'distance': 153.73, 'position': (41.516638, -87.389994)}|{'distance': 56475.91, 'position': (41.476257, -88.066355)}|{'distance': 117.38, 'position': (41.516989, -87.38998)}
25|(41.51796099999999, -87.39053)|{'distance': 62.2, 'position': (41.517421000000006, -87.390335)}|{'distance': 66.04, 'position': (41.517402000000004, -87.390262)}|{'distance': 776.48, 'position': (41.513720000000006, -87.38312099999999)}|{'distance': 56513.06, 'position': (41.47543399999999, -88.06670700000001)}|{'distance': 9.47, 'position': (41.517886, -87.39047599999999)}|{'distance': 56442.08, 'position': (41.475693, -88.065882)}|{'distance': 156.22, 'position': (41.516614, -87.38999700000001)}|{'distance': 56472.81, 'position': (41.476295, -88.066322)}|{'distance': 119.94, 'position': (41.516948, -87.39003500000001)}
26|(41.51796099999999, -87.39053)|{'distance': 62.2, 'position': (41.517421000000006, -87.390335)}|{'distance': 66.04, 'position': (41.517402000000004, -87.390262)}|{'distance': 775.93, 'position': (41.513733, -87.38311600000002)}|{'distance': 56514.27, 'position': (41.475429999999996, -88.066721)}|{'distance': 2.54, 'position': (41.517979999999994, -87.390513)}|{'distance': 56441.88, 'position': (41.475739000000004, -88.065885)}|{'distance': 158.68, 'position': (41.516589999999994, -87.390001)}|{'distance': 56470.0, 'position': (41.476285, -88.06628699999999)}|{'distance': 121.37, 'position': (41.516926000000005, -87.390067)}
27|(41.51796099999999, -87.39053)|{'distance': 62.2, 'position': (41.517421000000006, -87.390335)}|{'distance': 66.19, 'position': (41.517398, -87.39027200000001)}|{'distance': 775.25, 'position': (41.51374799999999, -87.38311100000001)}|{'distance': 56514.38, 'position': (41.475435, -88.066723)}|{'distance': 7.01, 'position': (41.518024, -87.39052799999999)}|{'distance': 56441.97, 'position': (41.475789999999996, -88.065892)}|{'distance': 159.99, 'position': (41.516613, -87.389858)}|{'distance': 56470.02, 'position': (41.476291, -88.066288)}|{'distance': 136.26, 'position': (41.516826, -87.38991299999999)}
28|(41.51796099999999, -87.39053)|{'distance': 64.91, 'position': (41.517393, -87.39035)}|{'distance': 65.42, 'position': (41.517401, -87.390289)}|{'distance': 774.25, 'position': (41.51376500000001, -87.383109)}|{'distance': 56514.02, 'position': (41.475429999999996, -88.066718)}|{'distance': 12.64, 'position': (41.518074, -87.390546)}|{'distance': 56442.2, 'position': (41.475843999999995, -88.065901)}|{'distance': 161.99, 'position': (41.516598, -87.389843)}|{'distance': 56499.84, 'position': (41.475599, -88.06656699999999)}|{'distance': 140.72, 'position': (41.516787, -87.389899)}
29|(41.51796099999999, -87.39053)|{'distance': 64.46, 'position': (41.517393, -87.390375)}|{'distance': 64.13, 'position': (41.517407000000006, -87.390316)}|{'distance': 772.97, 'position': (41.513783999999994, -87.383109)}|{'distance': 56513.6, 'position': (41.475429999999996, -88.066713)}|{'distance': 15.25, 'position': (41.518097, -87.390554)}|{'distance': 56442.65, 'position': (41.4759, -88.065913)}|{'distance': 164.68, 'position': (41.516584, -87.389802)}|{'distance': 56499.94, 'position': (41.475597, -88.066568)}|{'distance': 150.23, 'position': (41.516709, -87.38985199999999)}
30|(41.51796099999999, -87.39053)|{'distance': 64.6, 'position': (41.517388000000004, -87.390402)}|{'distance': 62.83, 'position': (41.517413, -87.39034600000001)}|{'distance': 771.31, 'position': (41.513806, -87.383112)}|{'distance': 56512.75, 'position': (41.475432, -88.066703)}|{'distance': 17.39, 'position': (41.518116, -87.390558)}|{'distance': 56442.93, 'position': (41.475957, -88.065923)}|{'distance': 162.69, 'position': (41.516602000000006, -87.38980600000001)}|{'distance': 56498.71, 'position': (41.475595999999996, -88.066553)}|{'distance': 167.4, 'position': (41.516563, -87.389784)}
31|(41.51796099999999, -87.39053)|{'distance': 64.48, 'position': (41.517385999999995, -87.39043)}|{'distance': 63.63, 'position': (41.517398, -87.390393)}|{'distance': 769.71, 'position': (41.513828000000004, -87.383114)}|{'distance': 56512.01, 'position': (41.475432, -88.06669400000001)}|{'distance': 20.07, 'position': (41.51814, -87.39056099999999)}|{'distance': 56443.17, 'position': (41.476018, -88.065933)}|{'distance': 164.57, 'position': (41.516588, -87.389792)}|{'distance': 56498.17, 'position': (41.475609000000006, -88.066548)}|{'distance': 167.48, 'position': (41.516563999999995, -87.389778)}
32|(41.51796099999999, -87.39053)|{'distance': 64.61, 'position': (41.517383, -87.390451)}|{'distance': 63.72, 'position': (41.517393, -87.390429)}|{'distance': 768.18, 'position': (41.513849, -87.38311600000002)}|{'distance': 56511.59, 'position': (41.475432, -88.06668900000001)}|{'distance': 24.23, 'position': (41.518176999999994, -87.390568)}|{'distance': 56443.4, 'position': (41.476081, -88.065943)}|{'distance': 165.68, 'position': (41.516580000000005, -87.38978300000001)}|{'distance': 56498.56, 'position': (41.475628, -88.06655500000001)}|{'distance': 166.62, 'position': (41.516566999999995, -87.389796)}
33|(41.51796099999999, -87.39053)|{'distance': 65.03, 'position': (41.517378, -87.390468)}|{'distance': 63.79, 'position': (41.51739, -87.390456)}|{'distance': 765.78, 'position': (41.513816, -87.383185)}|{'distance': 56511.5, 'position': (41.475433, -88.066688)}|{'distance': 49.44, 'position': (41.518369, -87.390766)}|{'distance': 56443.59, 'position': (41.476147, -88.06595300000001)}|{'distance': 166.34, 'position': (41.51657599999999, -87.38977500000001)}|{'distance': 56499.83, 'position': (41.475617, -88.066569)}|{'distance': 166.9, 'position': (41.516549000000005, -87.38985000000001)}
34|(41.517981, -87.39051799999999)|{'distance': 67.77, 'position': (41.517371999999995, -87.39048500000001)}|{'distance': 66.16, 'position': (41.517387, -87.390473)}|{'distance': 766.26, 'position': (41.513813, -87.383189)}|{'distance': 56512.59, 'position': (41.475433, -88.066687)}|{'distance': 51.28, 'position': (41.51841, -87.390744)}|{'distance': 56444.87, 'position': (41.476214, -88.065962)}|{'distance': 167.46, 'position': (41.516583, -87.38977000000001)}|{'distance': 56501.66, 'position': (41.475609000000006, -88.066576)}|{'distance': 171.07, 'position': (41.516522, -87.389866)}
35|(41.517987999999995, -87.390524)|{'distance': 68.19, 'position': (41.517375, -87.390501)}|{'distance': 67.02, 'position': (41.517385999999995, -87.39048500000001)}|{'distance': 766.4, 'position': (41.51381000000001, -87.383203)}|{'distance': 56511.81, 'position': (41.47543399999999, -88.066683)}|{'distance': 57.09, 'position': (41.518476, -87.390737)}|{'distance': 56444.53, 'position': (41.476282, -88.065971)}|{'distance': 111.91, 'position': (41.517083, -87.38993599999999)}|{'distance': 56501.62, 'position': (41.475603, -88.06657999999999)}|{'distance': 174.85, 'position': (41.516495000000006, -87.38986500000001)}
36|(41.517995, -87.390529)|{'distance': 67.5, 'position': (41.517388000000004, -87.390521)}|{'distance': 67.86, 'position': (41.517385000000004, -87.39050300000001)}|{'distance': 766.35, 'position': (41.513809, -87.383217)}|{'distance': 56510.42, 'position': (41.475438000000004, -88.066671)}|{'distance': 73.17, 'position': (41.518618, -87.39081200000001)}|{'distance': 56444.34, 'position': (41.476352, -88.065981)}|{'distance': 109.96, 'position': (41.517115999999994, -87.389924)}|{'distance': 56501.52, 'position': (41.475602, -88.066583)}|{'distance': 178.8, 'position': (41.516469, -87.38985199999999)}
37|(41.518010999999994, -87.390541)|{'distance': 69.3, 'position': (41.517388000000004, -87.390517)}|{'distance': 69.72, 'position': (41.517384, -87.39053200000001)}|{'distance': 767.63, 'position': (41.513808, -87.383227)}|{'distance': 56507.43, 'position': (41.475445, -88.066646)}|{'distance': 74.78, 'position': (41.518657999999995, -87.390786)}|{'distance': 56443.86, 'position': (41.476425, -88.06599399999999)}|{'distance': 108.91, 'position': (41.517148999999996, -87.38992)}|{'distance': 56500.95, 'position': (41.475599, -88.066586)}|{'distance': 182.01, 'position': (41.516452, -87.38987499999999)}
38|(41.518026, -87.39053700000001)|{'distance': 71.17, 'position': (41.517385999999995, -87.39052600000001)}|{'distance': 71.22, 'position': (41.517385999999995, -87.39057000000001)}|{'distance': 767.65, 'position': (41.513809, -87.38323700000001)}|{'distance': 56504.83, 'position': (41.475452999999995, -88.06661)}|{'distance': 75.2, 'position': (41.518702000000005, -87.390562)}|{'distance': 56444.62, 'position': (41.476498, -88.066006)}|{'distance': 108.95, 'position': (41.517168, -87.389905)}|{'distance': 56501.52, 'position': (41.475595999999996, -88.066587)}|{'distance': 186.33, 'position': (41.516426, -87.389872)}
39|(41.518039, -87.390545)|{'distance': 72.62, 'position': (41.517385999999995, -87.390534)}|{'distance': 72.61, 'position': (41.517388000000004, -87.39061299999999)}|{'distance': 768.0, 'position': (41.513816, -87.383246)}|{'distance': 56500.32, 'position': (41.475467, -88.066564)}|{'distance': 76.3, 'position': (41.518725, -87.39056500000001)}|{'distance': 56444.22, 'position': (41.47657, -88.066016)}|{'distance': 107.98, 'position': (41.517193999999996, -87.389906)}|{'distance': 56501.16, 'position': (41.475594, -88.06658900000001)}|{'distance': 189.18, 'position': (41.516409, -87.389894)}
40|(41.518053, -87.39055)|{'distance': 74.17, 'position': (41.517385999999995, -87.39054200000001)}|{'distance': 74.13, 'position': (41.517390999999996, -87.39065500000001)}|{'distance': 768.4, 'position': (41.51382400000001, -87.383251)}|{'distance': 56495.75, 'position': (41.475481, -88.06651400000001)}|{'distance': 78.29, 'position': (41.518756999999994, -87.39056099999999)}|{'distance': 56444.09, 'position': (41.476639999999996, -88.06602600000001)}|{'distance': 107.05, 'position': (41.517221, -87.38990299999999)}|{'distance': 56504.37, 'position': (41.475558, -88.06662700000001)}|{'distance': 192.84, 'position': (41.51639, -87.38989299999999)}
41|(41.518074999999996, -87.390554)|{'distance': 76.5, 'position': (41.517387, -87.390549)}|{'distance': 76.51, 'position': (41.51739499999999, -87.390694)}|{'distance': 766.62, 'position': (41.513847999999996, -87.38328)}|{'distance': 56490.86, 'position': (41.475500000000004, -88.066459)}|{'distance': 84.75, 'position': (41.518837000000005, -87.390576)}|{'distance': 56444.1, 'position': (41.476710999999995, -88.066036)}|{'distance': 106.97, 'position': (41.517247, -87.3899)}|{'distance': 56505.77, 'position': (41.475546, -88.066644)}|{'distance': 195.16, 'position': (41.51638, -87.389946)}
42|(41.518103, -87.390555)|{'distance': 79.17, 'position': (41.517390999999996, -87.390556)}|{'distance': 79.81, 'position': (41.517398, -87.390735)}|{'distance': 766.32, 'position': (41.513864000000005, -87.383298)}|{'distance': 56485.83, 'position': (41.475522, -88.066399)}|{'distance': 84.74, 'position': (41.518865, -87.390573)}|{'distance': 56444.24, 'position': (41.476783, -88.066044)}|{'distance': 107.19, 'position': (41.517274, -87.38989799999999)}|{'distance': 56507.0, 'position': (41.475538, -88.06665600000001)}|{'distance': 165.32, 'position': (41.5167, -87.38989799999999)}
